"ASSET","BANKS","DEP","EQNM","ID","NETINC","STNAME","YEAR"
17491428748,4519,13614252211,1985812286,"CB_2019_0",217608916,"United States & Other Areas","2019"
16728102982,4717,12898467068,1888615064,"CB_2018_0",222056305,"United States & Other Areas","2018"
16217881358,4918,12467586531,1824950466,"CB_2017_0",151492098,"United States & Other Areas","2017"
15627781046,5112,11982312148,1737945824,"CB_2016_0",156685060,"United States & Other Areas","2016"
14893214772,5340,11349503567,1675818834,"CB_2015_0",151896097,"United States & Other Areas","2015"
14474657533,5607,10938732842,1606757767,"CB_2014_0",140189718,"United States & Other Areas","2014"
13673056712,5847,10385833653,1518720502,"CB_2013_0",143110234,"United States & Other Areas","2013"
13387499239,6072,10012097628,1486828390,"CB_2012_0",130041412,"United States & Other Areas","2012"
12650468093,6275,9258874267,1403801650,"CB_2011_0",110182982,"United States & Other Areas","2011"
12069442602,6519,8517722866,1337851761,"CB_2010_0",77427236,"United States & Other Areas","2010"
11826781868,6829,8336603049,1288433453,"CB_2009_0",-11619811,"United States & Other Areas","2009"
12313141199,7077,8085709986,1154480688,"CB_2008_0",15262023,"United States & Other Areas","2008"
11181900787,7279,7313861237,1143507906,"CB_2007_0",97639154,"United States & Other Areas","2007"
10097741906,7397,6735638819,1030533331,"CB_2006_0",128266630,"United States & Other Areas","2006"
9046945908,7523,6077508026,912892459,"CB_2005_0",113965005,"United States & Other Areas","2005"
8420099062,7628,5596572154,850587022,"CB_2004_0",104021848,"United States & Other Areas","2004"
7601000415,7767,5034669168,691815157,"CB_2003_0",102566180,"United States & Other Areas","2003"
7076844192,7887,4689787744,647390909,"CB_2002_0",89439142,"United States & Other Areas","2002"
6552293846,8082,4377557731,593594836,"CB_2001_0",74131124,"United States & Other Areas","2001"
6245559732,8315,4179567486,530355859,"CB_2000_0",70795046,"United States & Other Areas","2000"
5735134597,8582,3831058463,479689956,"CB_1999_0",71527729,"United States & Other Areas","1999"
5442603969,8775,3681390727,462231018,"CB_1998_0",61885315,"United States & Other Areas","1998"
5018532250,9144,3421663524,418045317,"CB_1997_0",59159284,"United States & Other Areas","1997"
4582164804,9530,3197138558,375586354,"CB_1996_0",52324224,"United States & Other Areas","1996"
4315175017,9943,3027575683,349793470,"CB_1995_0",48776028,"United States & Other Areas","1995"
4012106792,10453,2874439296,312226120,"CB_1994_0",44624072,"United States & Other Areas","1994"
3707088284,10961,2754329568,296604219,"CB_1993_0",43041783,"United States & Other Areas","1993"
3506170931,11467,2698681884,263467317,"CB_1992_0",31990373,"United States & Other Areas","1992"
3430682290,11927,2687663566,231699129,"CB_1991_0",17935435,"United States & Other Areas","1991"
3389489669,12347,2650149959,218616179,"CB_1990_0",15991078,"United States & Other Areas","1990"
3299362233,12715,2548504783,204822646,"CB_1989_0",15574853,"United States & Other Areas","1989"
3130795767,13137,2431734672,196545446,"CB_1988_0",24812194,"United States & Other Areas","1988"
2999948955,13723,2335455886,180650960,"CB_1987_0",2803219,"United States & Other Areas","1987"
2940698646,14210,2283527391,182143584,"CB_1986_0",17417674,"United States & Other Areas","1986"
2730672227,14417,2118087855,169117813,"CB_1985_0",17977015,"United States & Other Areas","1985"
2508870797,14496,1962934885,154103285,"CB_1984_0",15501811,"United States & Other Areas","1984"
2342101000,14469,1842503000,140537000,"CB_1983_0",14931000,"United States & Other Areas","1983"
2193339000,14451,1705689000,128833000,"CB_1982_0",14996000,"United States & Other Areas","1982"
2028982000,14414,1588782000,118303000,"CB_1981_0",14803000,"United States & Other Areas","1981"
1855687000,14434,1481162000,107594000,"CB_1980_0",14010000,"United States & Other Areas","1980"
1691789000,14364,1362805000,97241000,"CB_1979_0",12838000,"United States & Other Areas","1979"
1507936000,14391,1233403000,87441000,"CB_1978_0",10759000,"United States & Other Areas","1978"
1339376000,14411,1116618000,79264000,"CB_1977_0",8879000,"United States & Other Areas","1977"
1182412000,14410,991913000,72270000,"CB_1976_0",7843000,"United States & Other Areas","1976"
1086673571,14384,915856000,63853571,"CB_1975_0",7255000,"United States & Other Areas","1975"
1037197280,14230,871225000,59221280,"CB_1974_0",7078920,"United States & Other Areas","1974"
824959797,13976,681619000,53829446,"CB_1973_0",6581866,"United States & Other Areas","1973"
730901706,13733,616907567,48387043,"CB_1972_0",5655762,"United States & Other Areas","1972"
633573367,13612,539184062,44062293,"CB_1971_0",5236361,"United States & Other Areas","1971"
570158397,13511,482506000,40589130,"CB_1970_0",4837040,"United States & Other Areas","1970"
524645322,13473,436989665,37687737,"CB_1969_0",4333850,"United States & Other Areas","1969"
500160338,13487,434651699,34518862,"CB_1968_0",3786000,"United States & Other Areas","1968"
450646791,13514,395795923,32017791,"CB_1967_0",3508846,"United States & Other Areas","1967"
402898789,13538,352840159,29963789,"CB_1966_0",3039647,"United States & Other Areas","1966"
375394111,13544,331512681,28252233,"CB_1965_0",2861412,"United States & Other Areas","1965"
345130205,13493,306230277,26627450,"CB_1964_0",2602000,"United States & Other Areas","1964"
311790148,13291,274646629,25191682,"CB_1963_0",2393000,"United States & Other Areas","1963"
295983003,13124,261443531,23732173,"CB_1962_0",2348000,"United States & Other Areas","1962"
277374117,13115,247904875,22100863,"CB_1961_0",2374000,"United States & Other Areas","1961"
256322119,13126,228993232,20634423,"CB_1960_0",2257000,"United States & Other Areas","1960"
243421960,13114,219011505,19204591,"CB_1959_0",1553000,"United States & Other Areas","1959"
237474461,13124,215168651,18164535,"CB_1958_0",2082000,"United States & Other Areas","1958"
221534482,13165,200485251,17058612,"CB_1957_0",1578000,"United States & Other Areas","1957"
216145685,13218,196507125,15991637,"CB_1956_0",1476000,"United States & Other Areas","1956"
209145179,13237,190988628,14979667,"CB_1955_0",1320000,"United States & Other Areas","1955"
200588794,13323,183309223,14254784,"CB_1954_0",1473000,"United States & Other Areas","1954"
191062168,13432,175083481,13242084,"CB_1953_0",1070000,"United States & Other Areas","1953"
186682379,13439,171357027,12560406,"CB_1952_0",1067000,"United States & Other Areas","1952"
177448839,13455,163171949,11904422,"CB_1951_0",1047000,"United States & Other Areas","1951"
166792478,13446,153497611,11261294,"CB_1950_0",1072000,"United States & Other Areas","1950"
155318639,13436,143194309,10626718,"CB_1949_0",968000,"United States & Other Areas","1949"
152162826,13419,140682521,10137998,"CB_1948_0",941000,"United States & Other Areas","1948"
152773209,13403,141888666,9706384,"CB_1947_0",775000,"United States & Other Areas","1947"
147365393,13359,137030000,9253025,"CB_1946_0",894000,"United States & Other Areas","1946"
157582209,13302,147811000,8629317,"CB_1945_0",894000,"United States & Other Areas","1945"
134612745,13268,125752000,7943680,"CB_1944_0",736000,"United States & Other Areas","1944"
112246361,13274,104116000,7454361,"CB_1943_0",623000,"United States & Other Areas","1943"
95459010,13347,87820000,7056010,"CB_1942_0",426000,"United States & Other Areas","1942"
76827000,13430,69421000,6842000,"CB_1941_0",436000,"United States & Other Areas","1941"
70720000,13442,63470000,6673000,"CB_1940_0",383000,"United States & Other Areas","1940"
63146526,13538,56076349,6524370,"CB_1939_0",370000,"United States & Other Areas","1939"
56800254,13661,49778676,6435254,"CB_1938_0",281000,"United States & Other Areas","1938"
54212416,13797,47223688,6404042,"CB_1937_0",357000,"United States & Other Areas","1937"
56210481,13973,49283126,6328702,"CB_1936_0",490000,"United States & Other Areas","1936"
50925635,14125,44147311,6209425,"CB_1935_0",174000,"United States & Other Areas","1935"
46448076,14146,39015142,6151567,"CB_1934_0",-357000,"United States & Other Areas","1934"